Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso CPU (%),Uso GPU (%),Memoria CPU usada (GiB),Memoria GPU usada (MB)
2025-08-17 20:20:02,48.0,44,42.0,0,11.17,41
2025-08-17 20:20:09,48.0,44,28.0,1,12.51,0
2025-08-17 20:20:15,48.0,43,49.0,0,13.72,0
2025-08-17 20:20:22,48.0,46,29.0,28,15.07,3933
2025-08-17 20:20:28,48.0,47,0.0,0,16.03,3979
2025-08-17 20:20:34,48.0,48,2.0,0,16.04,3979
2025-08-17 20:20:40,48.0,59,9.0,100,16.06,3979
2025-08-17 20:20:46,48.0,57,10.0,100,16.03,3981
2025-08-17 20:20:53,48.0,52,2.0,0,16.02,3981
2025-08-17 20:20:59,48.0,57,9.0,100,16.02,3981
2025-08-17 20:21:05,48.0,59,21.0,98,16.02,3981
2025-08-17 20:21:11,48.0,59,15.0,99,16.02,3981
2025-08-17 20:21:17,48.0,60,0.0,98,16.02,3981
2025-08-17 20:21:24,48.0,59,7.0,100,16.02,3981
2025-08-17 20:21:30,48.0,58,14.0,100,15.91,3981
2025-08-17 20:21:36,48.0,61,2.0,98,15.90,3981
2025-08-17 20:21:42,48.0,60,2.0,100,15.91,3981
2025-08-17 20:21:48,48.0,61,30.0,98,15.90,3981
2025-08-17 20:21:54,48.0,61,18.0,99,15.90,3981
2025-08-17 20:22:01,48.0,61,27.0,99,16.10,3981
2025-08-17 20:22:07,48.0,61,12.0,100,16.03,3981
2025-08-17 20:22:13,48.0,61,0.0,100,16.03,3981
2025-08-17 20:22:19,48.0,62,25.0,98,16.03,3981
2025-08-17 20:22:25,48.0,60,13.0,100,16.03,3981
2025-08-17 20:22:32,48.0,62,9.0,99,16.00,3981
2025-08-17 20:22:38,48.0,61,3.0,98,16.00,3981
2025-08-17 20:22:44,48.0,60,2.0,100,16.01,3981
2025-08-17 20:22:50,48.0,61,18.0,100,16.00,3981
2025-08-17 20:22:56,48.0,61,4.0,98,16.00,3981
2025-08-17 20:23:03,48.0,62,10.0,99,16.00,3981
2025-08-17 20:23:09,48.0,62,37.0,99,16.00,3981
2025-08-17 20:23:15,48.0,61,11.0,100,16.01,3981
2025-08-17 20:23:21,48.0,61,3.0,100,16.01,3981
2025-08-17 20:23:27,48.0,62,41.0,100,16.01,3981
2025-08-17 20:23:34,48.0,63,2.0,98,16.02,3981
2025-08-17 20:23:40,48.0,62,4.0,100,16.01,3981
2025-08-17 20:23:46,48.0,62,4.0,98,16.01,3981
2025-08-17 20:23:52,48.0,57,0.0,0,15.99,3981
2025-08-17 20:23:58,48.0,53,2.0,0,16.00,3981
2025-08-17 20:24:05,48.0,51,12.0,0,16.02,3981
2025-08-17 20:24:11,48.0,50,5.0,0,16.09,3981
2025-08-17 20:24:17,48.0,49,19.0,0,16.07,3981
