Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso CPU (%),Uso GPU (%),Memoria CPU usada (GiB),Memoria GPU usada (MB)
2025-08-17 20:47:07,48.0,39,12.0,1,10.18,0
2025-08-17 20:47:14,48.0,41,48.0,0,11.02,41
2025-08-17 20:47:21,48.0,41,39.0,0,12.19,0
2025-08-17 20:47:27,48.0,41,33.0,0,13.38,0
2025-08-17 20:47:33,48.0,44,6.0,0,14.57,3881
2025-08-17 20:47:39,48.0,45,17.0,0,15.20,3927
2025-08-17 20:47:46,48.0,46,5.0,0,15.12,3947
2025-08-17 20:47:52,48.0,53,2.0,100,15.10,3947
2025-08-17 20:47:58,48.0,58,10.0,100,15.10,3949
2025-08-17 20:48:04,48.0,56,5.0,100,15.26,3949
2025-08-17 20:48:10,48.0,58,5.0,98,15.24,3949
2025-08-17 20:48:17,48.0,58,7.0,99,15.23,3949
2025-08-17 20:48:23,48.0,59,4.0,99,15.24,3949
2025-08-17 20:48:29,48.0,59,27.0,99,15.23,3949
2025-08-17 20:48:35,48.0,60,18.0,99,15.11,3949
2025-08-17 20:48:41,48.0,60,3.0,99,15.10,3949
2025-08-17 20:48:47,48.0,60,16.0,99,15.10,3949
2025-08-17 20:48:54,48.0,61,25.0,99,15.25,3949
2025-08-17 20:49:00,48.0,61,16.0,98,15.26,3949
2025-08-17 20:49:06,48.0,61,4.0,99,15.25,3949
2025-08-17 20:49:12,48.0,61,2.0,99,15.25,3949
2025-08-17 20:49:18,48.0,62,10.0,99,15.23,3949
2025-08-17 20:49:25,48.0,61,2.0,99,15.22,3949
2025-08-17 20:49:31,48.0,62,15.0,100,15.10,3949
2025-08-17 20:49:37,48.0,62,14.0,99,15.10,3949
2025-08-17 20:49:43,48.0,61,6.0,100,15.10,3949
2025-08-17 20:49:49,48.0,62,8.0,99,15.10,3949
2025-08-17 20:49:56,48.0,62,11.0,99,14.94,3949
2025-08-17 20:50:02,48.0,62,22.0,99,15.13,3949
2025-08-17 20:50:08,48.0,62,28.0,99,15.09,3949
2025-08-17 20:50:14,48.0,62,8.0,100,15.08,3949
2025-08-17 20:50:20,48.0,62,14.0,99,15.07,3949
2025-08-17 20:50:26,48.0,63,8.0,99,15.07,3949
2025-08-17 20:50:33,48.0,62,27.0,99,15.07,3949
2025-08-17 20:50:39,48.0,62,8.0,99,15.08,3949
2025-08-17 20:50:45,48.0,62,11.0,100,15.09,3949
2025-08-17 20:50:51,48.0,63,4.0,100,15.08,3949
2025-08-17 20:50:57,48.0,61,4.0,99,15.08,3949
2025-08-17 20:51:04,48.0,63,30.0,99,15.08,3949
2025-08-17 20:51:10,48.0,63,10.0,99,15.08,3949
2025-08-17 20:51:16,48.0,63,28.0,100,15.08,3949
2025-08-17 20:51:22,48.0,63,14.0,100,15.07,3949
2025-08-17 20:51:28,48.0,63,7.0,98,15.07,3949
2025-08-17 20:51:35,48.0,62,4.0,100,14.96,3949
2025-08-17 20:51:41,48.0,58,4.0,0,14.95,3949
2025-08-17 20:51:47,48.0,53,3.0,0,14.94,3949
2025-08-17 20:51:53,48.0,51,5.0,0,15.03,3949
2025-08-17 20:51:59,48.0,50,10.0,0,15.04,3949
2025-08-17 20:52:06,48.0,49,9.0,0,15.16,3949
2025-08-17 20:52:12,48.0,48,4.0,0,15.14,3949
2025-08-17 20:52:18,48.0,48,6.0,0,15.14,3949
2025-08-17 20:52:24,48.0,47,2.0,0,15.16,3949
2025-08-17 20:52:31,48.0,46,15.0,0,15.14,3949
2025-08-17 20:52:37,48.0,46,18.0,0,15.02,3949
2025-08-17 20:52:43,48.0,45,10.0,0,15.08,3949
2025-08-17 20:52:49,48.0,45,7.0,0,15.04,3949
2025-08-17 20:52:56,48.0,45,10.0,0,15.18,3949
2025-08-17 20:53:02,48.0,44,3.0,0,15.19,3949
2025-08-17 20:53:08,48.0,44,26.0,0,15.04,3949
