Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso CPU (%),Uso GPU (%),Memoria CPU usada (GiB),Memoria GPU usada (MB)
2025-08-17 21:12:29,48.0,42,12.0,1,13.45,0
2025-08-17 21:12:36,48.0,44,3.0,0,10.27,41
2025-08-17 21:12:43,48.0,44,7.0,0,11.03,0
2025-08-17 21:12:49,48.0,44,7.0,0,11.97,0
2025-08-17 21:12:55,48.0,44,3.0,1,13.03,0
2025-08-17 21:13:02,48.0,44,19.0,0,14.26,0
2025-08-17 21:13:08,48.0,47,5.0,0,15.89,3979
2025-08-17 21:13:14,48.0,49,10.0,1,15.76,3997
2025-08-17 21:13:20,48.0,57,2.0,100,15.78,3979
2025-08-17 21:13:27,48.0,55,24.0,100,15.78,3979
2025-08-17 21:13:33,48.0,60,33.0,100,15.90,3981
2025-08-17 21:13:39,48.0,52,17.0,0,15.85,3981
2025-08-17 21:13:45,48.0,59,22.0,100,15.85,3981
2025-08-17 21:13:51,48.0,58,7.0,98,15.84,3981
2025-08-17 21:13:58,48.0,60,33.0,99,15.84,3981
2025-08-17 21:14:04,48.0,59,27.0,98,15.97,3981
2025-08-17 21:14:10,48.0,60,13.0,100,15.93,3981
2025-08-17 21:14:16,48.0,60,14.0,100,15.93,3981
2025-08-17 21:14:22,48.0,61,19.0,100,15.89,3981
2025-08-17 21:14:29,48.0,61,25.0,100,15.89,3981
2025-08-17 21:14:35,48.0,62,45.0,99,15.87,3981
2025-08-17 21:14:41,48.0,60,24.0,100,15.87,3981
2025-08-17 21:14:47,48.0,62,18.0,99,15.87,3981
2025-08-17 21:14:53,48.0,62,20.0,100,15.87,3981
2025-08-17 21:15:00,48.0,62,17.0,98,15.88,3981
2025-08-17 21:15:06,48.0,63,34.0,98,15.90,3981
2025-08-17 21:15:12,48.0,63,20.0,99,15.88,3981
2025-08-17 21:15:18,48.0,63,19.0,99,15.89,3981
2025-08-17 21:15:24,48.0,63,11.0,100,15.89,3981
2025-08-17 21:15:31,48.0,63,26.0,100,15.90,3981
2025-08-17 21:15:37,48.0,63,45.0,100,15.78,3981
2025-08-17 21:15:43,48.0,62,7.0,98,15.78,3981
2025-08-17 21:15:49,48.0,63,13.0,98,15.78,3981
2025-08-17 21:15:55,48.0,63,51.0,100,15.78,3981
2025-08-17 21:16:02,48.0,63,21.0,100,15.96,3981
2025-08-17 21:16:08,48.0,63,19.0,99,15.93,3981
2025-08-17 21:16:14,48.0,62,36.0,99,15.92,3981
2025-08-17 21:16:20,48.0,63,42.0,99,15.91,3981
2025-08-17 21:16:26,48.0,63,8.0,99,15.91,3981
2025-08-17 21:16:32,48.0,63,15.0,99,15.86,3981
2025-08-17 21:16:39,48.0,62,7.0,100,15.86,3981
2025-08-17 21:16:45,48.0,57,1.0,0,15.75,3981
2025-08-17 21:16:51,48.0,53,1.0,0,15.74,3981
2025-08-17 21:16:57,48.0,51,1.0,0,15.74,3981
2025-08-17 21:17:04,48.0,50,5.0,0,15.90,3981
