Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso CPU (%),Uso GPU (%),Memoria CPU usada (GiB),Memoria GPU usada (MB)
2025-08-17 21:00:22,48.0,41,20.0,1,9.71,0
2025-08-17 21:00:29,48.0,43,3.0,0,10.70,41
2025-08-17 21:00:36,48.0,43,17.0,1,12.07,0
2025-08-17 21:00:42,48.0,42,5.0,0,13.37,0
2025-08-17 21:00:48,48.0,46,35.0,0,14.86,3927
2025-08-17 21:00:55,48.0,47,1.0,0,14.89,3945
2025-08-17 21:01:01,48.0,52,38.0,100,15.01,3947
2025-08-17 21:01:07,48.0,54,2.0,100,14.99,3949
2025-08-17 21:01:13,48.0,56,3.0,100,14.99,3949
2025-08-17 21:01:19,48.0,56,7.0,100,14.97,3949
2025-08-17 21:01:25,48.0,58,21.0,99,14.97,3949
2025-08-17 21:01:32,48.0,59,12.0,99,14.84,3949
2025-08-17 21:01:38,48.0,59,19.0,99,14.84,3949
2025-08-17 21:01:44,48.0,60,9.0,99,14.83,3949
2025-08-17 21:01:50,48.0,60,21.0,99,14.83,3949
2025-08-17 21:01:56,48.0,60,14.0,100,14.83,3949
2025-08-17 21:02:03,48.0,60,36.0,99,14.98,3949
2025-08-17 21:02:09,48.0,60,11.0,100,14.98,3949
2025-08-17 21:02:15,48.0,61,4.0,99,14.97,3949
2025-08-17 21:02:21,48.0,60,11.0,99,14.97,3949
2025-08-17 21:02:27,48.0,61,8.0,99,14.96,3949
2025-08-17 21:02:34,48.0,61,3.0,99,14.83,3949
2025-08-17 21:02:40,48.0,60,5.0,100,14.81,3949
2025-08-17 21:02:46,48.0,60,12.0,99,14.79,3949
2025-08-17 21:02:52,48.0,61,9.0,98,14.80,3949
2025-08-17 21:02:58,48.0,61,28.0,99,14.98,3949
2025-08-17 21:03:04,48.0,61,35.0,99,14.95,3949
2025-08-17 21:03:11,48.0,61,30.0,100,14.94,3949
2025-08-17 21:03:17,48.0,61,16.0,99,14.94,3949
2025-08-17 21:03:23,48.0,61,8.0,99,14.94,3949
2025-08-17 21:03:29,48.0,62,24.0,100,14.92,3949
2025-08-17 21:03:35,48.0,61,13.0,99,14.81,3949
2025-08-17 21:03:42,48.0,62,11.0,99,14.81,3949
2025-08-17 21:03:48,48.0,62,7.0,99,14.80,3949
2025-08-17 21:03:54,48.0,62,23.0,100,14.81,3949
2025-08-17 21:04:00,48.0,62,29.0,100,14.97,3949
2025-08-17 21:04:06,48.0,62,20.0,100,14.97,3949
2025-08-17 21:04:13,48.0,54,3.0,0,14.94,3949
2025-08-17 21:04:19,48.0,51,4.0,0,14.94,3949
2025-08-17 21:04:25,48.0,50,8.0,0,14.94,3949
2025-08-17 21:04:31,48.0,49,4.0,0,14.99,3949
2025-08-17 21:04:38,48.0,48,1.0,0,14.97,3949
2025-08-17 21:04:44,48.0,47,4.0,0,14.80,3949
2025-08-17 21:04:50,48.0,47,8.0,0,14.79,3949
2025-08-17 21:04:56,48.0,46,1.0,0,14.61,3949
2025-08-17 21:05:03,48.0,46,10.0,0,14.70,3949
2025-08-17 21:05:09,48.0,45,3.0,0,14.68,3949
2025-08-17 21:05:15,48.0,45,2.0,0,14.70,3949
2025-08-17 21:05:21,48.0,44,6.0,0,14.70,3949
2025-08-17 21:05:28,48.0,44,5.0,0,14.70,3949
2025-08-17 21:05:34,48.0,44,7.0,0,14.60,3949
2025-08-17 21:05:40,48.0,44,0.0,0,14.61,3949
2025-08-17 21:05:47,48.0,44,2.0,0,14.61,3949
2025-08-17 21:05:53,48.0,44,5.0,0,14.60,3949
2025-08-17 21:05:59,48.0,44,12.0,0,14.60,3949
2025-08-17 21:06:05,48.0,44,5.0,0,14.78,3949
2025-08-17 21:06:12,48.0,44,10.0,0,14.77,3949
2025-08-17 21:06:18,48.0,44,4.0,0,14.79,3949
2025-08-17 21:06:24,48.0,43,12.0,0,14.79,3949
2025-08-17 21:06:30,48.0,43,7.0,0,14.73,3949
2025-08-17 21:06:37,48.0,43,8.0,0,14.62,3949
2025-08-17 21:06:43,48.0,43,4.0,0,14.62,3949
2025-08-17 21:06:49,48.0,43,7.0,0,14.62,3949
2025-08-17 21:06:55,48.0,43,7.0,0,14.61,3949
2025-08-17 21:07:01,48.0,43,1.0,0,14.79,3949
2025-08-17 21:07:08,48.0,43,6.0,0,14.77,3949
2025-08-17 21:07:14,48.0,43,5.0,0,14.76,3949
2025-08-17 21:07:20,48.0,43,2.0,0,14.76,3949
2025-08-17 21:07:26,48.0,43,2.0,0,14.76,3949
2025-08-17 21:07:33,48.0,43,2.0,0,14.62,3949
2025-08-17 21:07:39,48.0,43,6.0,0,14.62,3949
2025-08-17 21:07:45,48.0,43,2.0,0,14.61,3949
2025-08-17 21:07:52,48.0,43,5.0,0,14.62,3949
2025-08-17 21:07:58,48.0,42,4.0,0,14.61,3949
2025-08-17 21:08:04,48.0,42,0.0,0,14.76,3949
2025-08-17 21:08:10,48.0,42,4.0,0,14.75,3949
2025-08-17 21:08:17,48.0,42,2.0,0,14.75,3949
2025-08-17 21:08:23,48.0,42,3.0,0,14.75,3949
2025-08-17 21:08:29,48.0,42,6.0,0,14.75,3949
2025-08-17 21:08:35,48.0,42,1.0,0,14.73,3949
2025-08-17 21:08:42,48.0,42,2.0,0,14.72,3949
2025-08-17 21:08:48,48.0,42,3.0,0,14.62,3949
2025-08-17 21:08:54,48.0,42,11.0,0,14.77,3949
2025-08-17 21:09:00,48.0,42,8.0,0,14.90,3949
2025-08-17 21:09:07,48.0,42,4.0,0,14.90,3949
2025-08-17 21:09:13,48.0,42,6.0,0,14.91,3949
2025-08-17 21:09:19,48.0,42,1.0,0,14.91,3949
2025-08-17 21:09:25,48.0,42,5.0,0,14.90,3949
2025-08-17 21:09:32,48.0,42,6.0,0,14.75,3949
2025-08-17 21:09:38,48.0,42,1.0,0,14.75,3949
2025-08-17 21:09:44,48.0,42,6.0,0,14.75,3949
2025-08-17 21:09:50,48.0,42,4.0,0,14.75,3949
2025-08-17 21:09:57,48.0,42,2.0,0,14.75,3949
2025-08-17 21:10:03,48.0,42,6.0,0,14.88,3949
2025-08-17 21:10:09,48.0,42,3.0,0,14.88,3949
2025-08-17 21:10:15,48.0,42,1.0,0,14.88,3949
2025-08-17 21:10:22,48.0,41,3.0,0,14.88,3949
2025-08-17 21:10:28,48.0,42,12.0,0,14.90,3949
2025-08-17 21:10:34,48.0,41,1.0,0,14.83,3949
2025-08-17 21:10:40,48.0,42,0.0,0,14.72,3949
2025-08-17 21:10:47,48.0,41,1.0,0,14.72,3949
2025-08-17 21:10:53,48.0,41,20.0,0,14.86,3949
