Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso GPU (%),Memoria GPU usada (MB)
2025-08-17 13:01:05,48,43,1,0
2025-08-17 13:01:11,48,43,1,0
2025-08-17 13:01:17,48,43,1,0
2025-08-17 13:01:22,48,44,1,0
2025-08-17 13:01:28,48,44,1,0
2025-08-17 13:01:33,48,45,1,0
2025-08-17 13:01:39,48,45,1,0
2025-08-17 13:01:44,48,45,1,0
2025-08-17 13:01:50,48,46,1,0
2025-08-17 13:01:55,48,46,1,0
2025-08-17 13:02:01,48,46,1,0
2025-08-17 13:02:06,48,47,1,0
2025-08-17 13:02:12,48,47,1,0
2025-08-17 13:02:17,48,47,1,0
2025-08-17 13:02:23,48,47,1,0
2025-08-17 13:02:28,48,47,1,0
2025-08-17 13:02:34,48,48,1,0
2025-08-17 13:02:40,48,48,1,0
2025-08-17 13:02:45,48,48,1,0
2025-08-17 13:02:51,48,48,1,0
2025-08-17 13:02:56,48,48,1,0
2025-08-17 13:03:02,48,48,1,0
2025-08-17 13:03:07,48,48,1,0
2025-08-17 13:03:13,48,48,1,0
2025-08-17 13:03:18,48,48,1,0
2025-08-17 13:03:24,48,49,1,0
2025-08-17 13:03:29,48,49,1,0
2025-08-17 13:03:35,48,49,1,0
2025-08-17 13:03:40,48,49,1,0
2025-08-17 13:03:46,48,49,1,0
2025-08-17 13:03:51,48,49,1,0
2025-08-17 13:03:57,48,49,1,0
2025-08-17 13:04:03,48,49,1,0
2025-08-17 13:04:08,48,49,1,0
2025-08-17 13:04:14,48,49,1,0
2025-08-17 13:04:19,48,49,1,0
2025-08-17 13:04:25,48,49,1,0
2025-08-17 13:04:30,48,50,1,0
2025-08-17 13:04:36,48,50,1,0
2025-08-17 13:04:41,48,49,1,0
2025-08-17 13:04:47,48,49,1,0
2025-08-17 13:04:52,48,49,1,0
2025-08-17 13:04:58,48,49,1,0
2025-08-17 13:05:03,48,49,1,0
2025-08-17 13:05:09,48,50,1,0
2025-08-17 13:05:14,48,50,1,0
2025-08-17 13:05:20,48,50,1,0
2025-08-17 13:05:25,48,50,1,0
2025-08-17 13:05:31,48,50,1,0
2025-08-17 13:05:37,48,50,1,0
2025-08-17 13:05:42,48,50,1,0
2025-08-17 13:05:48,48,50,1,0
2025-08-17 13:05:53,48,50,1,0
2025-08-17 13:05:59,48,50,1,0
2025-08-17 13:06:04,48,50,1,0
2025-08-17 13:06:10,48,50,1,0
2025-08-17 13:06:15,48,50,1,0
2025-08-17 13:06:21,48,50,1,0
2025-08-17 13:06:26,48,50,1,0
2025-08-17 13:06:32,48,50,1,0
2025-08-17 13:06:37,48,50,1,0
2025-08-17 13:06:43,48,50,1,0
2025-08-17 13:06:48,48,50,1,0
2025-08-17 13:06:54,48,50,1,0
2025-08-17 13:06:59,48,50,1,0
2025-08-17 13:07:05,48,50,1,0
2025-08-17 13:07:11,48,50,1,0
2025-08-17 13:07:16,48,50,1,0
2025-08-17 13:07:22,48,50,1,0
2025-08-17 13:07:27,48,50,1,0
2025-08-17 13:07:33,48,50,1,0
2025-08-17 13:07:38,48,50,1,0
2025-08-17 13:07:44,48,50,1,0
2025-08-17 13:07:49,48,50,1,0
2025-08-17 13:07:55,48,50,1,0
2025-08-17 13:08:00,48,50,1,0
2025-08-17 13:08:06,48,50,1,0
2025-08-17 13:08:11,48,50,1,0
2025-08-17 13:08:17,48,50,1,0
2025-08-17 13:08:22,48,50,1,0
2025-08-17 13:08:28,48,50,1,0
2025-08-17 13:08:33,48,50,1,0
2025-08-17 13:08:39,48,50,1,0
2025-08-17 13:08:44,48,50,1,0
2025-08-17 13:08:50,48,50,1,0
2025-08-17 13:08:55,48,50,1,0
2025-08-17 13:09:01,48,50,1,0
2025-08-17 13:09:06,48,50,1,0
2025-08-17 13:09:12,48,50,1,0
2025-08-17 13:09:18,48,50,1,0
2025-08-17 13:09:23,48,50,1,0
2025-08-17 13:09:29,48,50,1,0
2025-08-17 13:09:34,48,50,1,0
2025-08-17 13:09:40,48,50,1,0
2025-08-17 13:09:45,48,50,1,0
2025-08-17 13:09:51,48,50,1,0
2025-08-17 13:09:56,48,50,1,0
2025-08-17 13:10:02,48,50,1,0
2025-08-17 13:10:07,48,50,1,0
2025-08-17 13:10:13,48,50,1,0
2025-08-17 13:10:18,48,50,1,0
2025-08-17 13:10:24,48,50,1,0
2025-08-17 13:10:29,48,50,1,0
2025-08-17 13:10:35,48,50,1,0
2025-08-17 13:10:40,48,50,1,0
2025-08-17 13:10:46,48,50,1,0
2025-08-17 13:10:51,48,50,1,0
2025-08-17 13:10:57,48,50,1,0
2025-08-17 13:11:02,48,50,1,0
2025-08-17 13:11:08,48,50,1,0
2025-08-17 13:11:13,48,50,1,0
2025-08-17 13:11:19,48,50,1,0
2025-08-17 13:11:24,48,50,1,0
2025-08-17 13:11:30,48,50,0,0
2025-08-17 13:11:36,48,50,1,0
2025-08-17 13:11:41,48,50,1,0
2025-08-17 13:11:47,48,50,1,0
2025-08-17 13:11:52,48,50,1,0
2025-08-17 13:11:58,48,50,1,0
2025-08-17 13:12:03,48,50,1,0
2025-08-17 13:12:09,48,50,1,0
2025-08-17 13:12:14,48,50,1,0
2025-08-17 13:12:20,48,50,1,0
2025-08-17 13:12:25,48,50,1,0
2025-08-17 13:12:31,48,50,1,0
2025-08-17 13:12:36,48,50,1,0
2025-08-17 13:12:42,48,50,1,0
2025-08-17 13:12:47,48,51,1,0
2025-08-17 13:12:53,48,50,1,0
2025-08-17 13:12:58,48,51,1,0
2025-08-17 13:13:04,48,50,1,0
2025-08-17 13:13:09,48,50,1,0
2025-08-17 13:13:15,48,50,1,0
2025-08-17 13:13:20,48,50,1,0
2025-08-17 13:13:26,48,50,1,0
2025-08-17 13:13:31,48,50,1,0
2025-08-17 13:13:37,48,50,1,0
2025-08-17 13:13:43,48,50,1,0
2025-08-17 13:13:48,48,50,1,0
2025-08-17 13:13:54,48,50,1,0
2025-08-17 13:13:59,48,50,1,0
2025-08-17 13:14:05,48,50,1,0
2025-08-17 13:14:10,48,50,1,0
2025-08-17 13:14:16,48,50,1,0
2025-08-17 13:14:21,48,50,1,0
2025-08-17 13:14:27,48,50,1,0
2025-08-17 13:14:32,48,50,1,0
2025-08-17 13:14:38,48,50,1,0
2025-08-17 13:14:43,48,50,1,0
2025-08-17 13:14:49,48,49,1,0
2025-08-17 13:14:54,48,49,1,0
2025-08-17 13:15:00,48,49,1,0
2025-08-17 13:15:05,48,49,1,0
2025-08-17 13:15:11,48,49,1,0
2025-08-17 13:15:16,48,49,1,0
2025-08-17 13:15:22,48,49,1,0
2025-08-17 13:15:27,48,49,1,0
2025-08-17 13:15:33,48,48,1,0
2025-08-17 13:15:38,48,48,1,0
2025-08-17 13:15:44,48,48,1,0
2025-08-17 13:15:49,48,48,1,0
2025-08-17 13:15:55,48,48,1,0
