Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso GPU (%),Memoria GPU usada (MB)
2025-08-17 13:30:39,48,43,1,0
2025-08-17 13:30:45,48,43,1,0
2025-08-17 13:30:50,48,43,1,0
2025-08-17 13:30:56,48,44,1,0
2025-08-17 13:31:01,48,44,1,0
2025-08-17 13:31:07,48,44,1,0
2025-08-17 13:31:12,48,45,1,0
2025-08-17 13:31:18,48,45,1,0
2025-08-17 13:31:24,48,45,1,0
2025-08-17 13:31:29,48,46,1,0
2025-08-17 13:31:35,48,46,1,0
2025-08-17 13:31:40,48,46,1,0
2025-08-17 13:31:46,48,46,1,0
2025-08-17 13:31:51,48,47,1,0
2025-08-17 13:31:57,48,47,1,0
2025-08-17 13:32:02,48,47,1,0
2025-08-17 13:32:08,48,47,1,0
2025-08-17 13:32:13,48,48,1,0
2025-08-17 13:32:19,48,48,1,0
2025-08-17 13:32:24,48,48,1,0
2025-08-17 13:32:30,48,48,1,0
2025-08-17 13:32:35,48,48,1,0
2025-08-17 13:32:41,48,48,1,0
2025-08-17 13:32:46,48,48,1,0
2025-08-17 13:32:52,48,48,1,0
2025-08-17 13:32:58,48,48,1,0
2025-08-17 13:33:03,48,48,1,0
2025-08-17 13:33:09,48,48,1,0
2025-08-17 13:33:14,48,49,1,0
2025-08-17 13:33:20,48,48,1,0
2025-08-17 13:33:25,48,49,1,0
2025-08-17 13:33:31,48,49,1,0
2025-08-17 13:33:36,48,49,1,0
2025-08-17 13:33:42,48,49,1,0
2025-08-17 13:33:47,48,49,1,0
2025-08-17 13:33:53,48,49,1,0
2025-08-17 13:33:58,48,49,1,0
2025-08-17 13:34:04,48,49,1,0
2025-08-17 13:34:09,48,49,1,0
2025-08-17 13:34:15,48,49,1,0
2025-08-17 13:34:21,48,50,1,0
2025-08-17 13:34:26,48,49,1,0
2025-08-17 13:34:32,48,50,1,0
2025-08-17 13:34:37,48,50,1,0
2025-08-17 13:34:43,48,50,1,0
2025-08-17 13:34:48,48,50,1,0
2025-08-17 13:34:54,48,50,1,0
2025-08-17 13:34:59,48,50,1,0
2025-08-17 13:35:05,48,50,1,0
2025-08-17 13:35:10,48,50,1,0
2025-08-17 13:35:16,48,50,1,0
2025-08-17 13:35:21,48,50,1,0
2025-08-17 13:35:27,48,50,1,0
2025-08-17 13:35:32,48,50,1,0
2025-08-17 13:35:38,48,50,1,0
2025-08-17 13:35:43,48,50,1,0
2025-08-17 13:35:49,48,50,1,0
2025-08-17 13:35:54,48,50,1,0
2025-08-17 13:36:00,48,50,1,0
2025-08-17 13:36:06,48,50,1,0
2025-08-17 13:36:11,48,50,1,0
2025-08-17 13:36:17,48,50,1,0
2025-08-17 13:36:22,48,50,1,0
2025-08-17 13:36:28,48,50,1,0
2025-08-17 13:36:33,48,50,1,0
2025-08-17 13:36:39,48,50,1,0
2025-08-17 13:36:44,48,50,1,0
2025-08-17 13:36:50,48,50,1,0
2025-08-17 13:36:55,48,50,1,0
2025-08-17 13:37:01,48,50,1,0
2025-08-17 13:37:06,48,50,1,0
2025-08-17 13:37:12,48,50,1,0
2025-08-17 13:37:17,48,50,1,0
2025-08-17 13:37:23,48,50,1,0
2025-08-17 13:37:28,48,50,1,0
2025-08-17 13:37:34,48,50,1,0
2025-08-17 13:37:39,48,50,1,0
2025-08-17 13:37:45,48,50,1,0
2025-08-17 13:37:50,48,50,1,0
2025-08-17 13:37:56,48,50,1,0
2025-08-17 13:38:02,48,50,1,0
2025-08-17 13:38:07,48,50,1,0
2025-08-17 13:38:13,48,51,1,0
2025-08-17 13:38:18,48,50,1,0
2025-08-17 13:38:24,48,50,1,0
2025-08-17 13:38:29,48,50,1,0
2025-08-17 13:38:35,48,50,1,0
2025-08-17 13:38:40,48,50,1,0
2025-08-17 13:38:46,48,50,1,0
2025-08-17 13:38:51,48,50,1,0
2025-08-17 13:38:57,48,50,1,0
2025-08-17 13:39:02,48,50,1,0
2025-08-17 13:39:08,48,50,1,0
2025-08-17 13:39:13,48,50,1,0
2025-08-17 13:39:19,48,50,1,0
2025-08-17 13:39:24,48,50,1,0
2025-08-17 13:39:30,48,50,1,0
2025-08-17 13:39:35,48,50,1,0
2025-08-17 13:39:41,48,50,1,0
2025-08-17 13:39:46,48,50,1,0
2025-08-17 13:39:52,48,50,1,0
2025-08-17 13:39:58,48,50,1,0
2025-08-17 13:40:03,48,50,1,0
2025-08-17 13:40:09,48,51,1,0
2025-08-17 13:40:14,48,51,1,0
2025-08-17 13:40:20,48,51,1,0
2025-08-17 13:40:25,48,51,1,0
2025-08-17 13:40:31,48,51,1,0
2025-08-17 13:40:36,48,51,1,0
2025-08-17 13:40:42,48,51,1,0
2025-08-17 13:40:47,48,51,1,0
2025-08-17 13:40:53,48,51,1,0
2025-08-17 13:40:58,48,51,1,0
2025-08-17 13:41:04,48,51,1,0
2025-08-17 13:41:09,48,51,1,0
2025-08-17 13:41:15,48,51,1,0
2025-08-17 13:41:20,48,50,1,0
2025-08-17 13:41:26,48,50,1,0
2025-08-17 13:41:31,48,50,1,0
2025-08-17 13:41:37,48,50,0,0
2025-08-17 13:41:43,48,50,1,0
2025-08-17 13:41:48,48,50,1,0
2025-08-17 13:41:54,48,50,1,0
2025-08-17 13:41:59,48,50,1,0
2025-08-17 13:42:05,48,50,1,0
2025-08-17 13:42:10,48,50,1,0
2025-08-17 13:42:16,48,50,1,0
2025-08-17 13:42:21,48,50,0,0
2025-08-17 13:42:28,48,50,1,0
2025-08-17 13:42:34,48,50,1,0
2025-08-17 13:42:39,48,50,1,0
2025-08-17 13:42:45,48,50,1,0
2025-08-17 13:42:51,48,50,1,0
2025-08-17 13:42:56,48,50,1,0
2025-08-17 13:43:02,48,50,1,0
2025-08-17 13:43:07,48,50,1,0
2025-08-17 13:43:13,48,50,1,0
2025-08-17 13:43:18,48,50,1,0
2025-08-17 13:43:24,48,50,1,0
2025-08-17 13:43:29,48,50,1,0
2025-08-17 13:43:35,48,50,1,0
2025-08-17 13:43:40,48,50,1,0
2025-08-17 13:43:46,48,50,1,0
2025-08-17 13:43:51,48,50,1,0
2025-08-17 13:43:57,48,50,1,0
2025-08-17 13:44:02,48,50,1,0
2025-08-17 13:44:08,48,50,1,0
2025-08-17 13:44:13,48,50,1,0
2025-08-17 13:44:19,48,50,1,0
2025-08-17 13:44:24,48,50,1,0
2025-08-17 13:44:30,48,50,1,0
2025-08-17 13:44:35,48,50,1,0
2025-08-17 13:44:41,48,50,1,0
2025-08-17 13:44:46,48,50,1,0
2025-08-17 13:44:52,48,50,1,0
2025-08-17 13:44:57,48,50,1,0
2025-08-17 13:45:03,48,50,1,0
2025-08-17 13:45:08,48,50,1,0
2025-08-17 13:45:14,48,50,1,0
2025-08-17 13:45:19,48,50,1,0
2025-08-17 13:45:25,48,50,1,0
2025-08-17 13:45:30,48,50,1,0
2025-08-17 13:45:36,48,50,1,0
2025-08-17 13:45:41,48,50,1,0
2025-08-17 13:45:47,48,50,1,0
2025-08-17 13:45:52,48,50,1,0
2025-08-17 13:45:58,48,50,1,0
2025-08-17 13:46:03,48,50,1,0
2025-08-17 13:46:09,48,50,1,0
2025-08-17 13:46:14,48,50,1,0
2025-08-17 13:46:20,48,50,1,0
2025-08-17 13:46:25,48,50,1,0
2025-08-17 13:46:31,48,50,1,0
2025-08-17 13:46:37,48,50,1,0
